"DateTime","Final price","Historical Low"
"2024-09-25 01:00:02",69.99,69.99
"2025-06-25 17:01:10",55.99,55.99
"2025-06-26 19:57:44",55.99,55.99
"2025-07-10 17:11:07",69.99,55.99
"2025-08-11 17:11:09",55.99,55.99
"2025-08-24 17:01:12",69.99,55.99
"2025-09-23 17:01:14",48.99,48.99
"2025-10-06 17:11:10",69.99,48.99
"2025-10-29 17:01:17",48.99,48.99
"2025-11-11 17:05:06",69.99,48.99
"2025-12-11 18:01:24",38.49,38.49
"2026-01-05 18:32:40",69.99,38.49
"2026-02-12 18:07:48",38.49,38.49
"2026-02-26 18:22:06",69.99,38.49
"2026-04-01 17:09:10",38.49,38.49
"2026-04-15 17:08:07",69.99,38.49
"2026-06-04 17:07:55",29.39,29.39
"2026-06-15 22:22:21",29.39,29.39
"2026-06-15 22:22:21",,29.39
